iter	Passed	Remaining
750	5407	1792
751	5415	1786
752	5423	1779
753	5431	1772
754	5439	1765
755	5447	1758
756	5455	1751
757	5464	1744
758	5472	1737
759	5480	1730
760	5488	1723
761	5496	1716
762	5504	1709
763	5512	1702
764	5519	1695
765	5528	1688
766	5537	1682
767	5546	1675
768	5555	1668
769	5563	1661
770	5571	1654
771	5579	1647
772	5587	1640
773	5596	1634
774	5604	1627
775	5613	1620
776	5622	1613
777	5630	1606
778	5640	1600
779	5648	1593
780	5657	1586
781	5666	1579
782	5675	1572
783	5684	1566
784	5694	1559
785	5704	1553
786	5714	1546
787	5724	1539
788	5733	1533
789	5742	1526
790	5753	1520
791	5764	1513
792	5775	1507
793	5786	1501
794	5796	1494
795	5806	1488
796	5815	1481
797	5825	1474
798	5835	1467
799	5844	1461
800	5854	1454
801	5865	1448
802	5876	1441
803	5885	1434
804	5895	1428
805	5905	1421
806	5915	1414
807	5925	1408
808	5934	1401
809	5943	1394
810	5953	1387
811	5963	1380
812	5972	1373
813	5981	1366
814	5991	1359
815	6000	1353
816	6009	1346
817	6018	1339
818	6027	1332
819	6036	1325
820	6046	1318
821	6055	1311
822	6065	1304
823	6074	1297
824	6084	1290
825	6093	1283
826	6103	1276
827	6112	1269
828	6121	1262
829	6131	1255
830	6141	1248
831	6150	1241
832	6159	1234
833	6168	1227
834	6177	1220
835	6187	1213
836	6196	1206
837	6205	1199
838	6214	1192
839	6223	1185
840	6232	1178
841	6240	1171
842	6249	1163
843	6257	1156
844	6266	1149
845	6274	1142
846	6283	1135
847	6292	1127
848	6301	1120
849	6309	1113
850	6318	1106
851	6327	1099
852	6335	1091
853	6345	1084
854	6354	1077
855	6363	1070
856	6371	1063
857	6380	1055
858	6389	1048
859	6399	1041
860	6410	1034
861	6424	1028
862	6435	1021
863	6447	1014
864	6459	1008
865	6472	1001
866	6484	994
867	6495	987
868	6506	980
869	6516	973
870	6526	966
871	6537	959
872	6548	952
873	6559	945
874	6569	938
875	6581	931
876	6593	924
877	6604	917
878	6615	910
879	6625	903
880	6636	896
881	6647	889
882	6660	882
883	6670	875
884	6680	868
885	6690	860
886	6699	853
887	6709	846
888	6720	839
889	6734	832
890	6746	825
891	6758	818
892	6769	811
893	6780	803
894	6791	796
895	6801	789
896	6811	782
897	6820	774
898	6830	767
899	6839	759
900	6849	752
901	6860	745
902	6872	738
903	6884	731
904	6896	723
905	6908	716
906	6923	709
907	6936	702
908	6952	695
909	6964	688
910	6976	681
911	6983	673
912	6990	666
913	6998	658
914	7006	650
915	7013	643
916	7021	635
917	7036	628
918	7055	621
919	7072	615
920	7089	608
921	7107	601
922	7125	594
923	7140	587
924	7156	580
925	7170	573
926	7184	565
927	7198	558
928	7212	551
929	7225	543
930	7237	536
931	7251	529
932	7263	521
933	7275	514
934	7286	506
935	7297	498
936	7309	491
937	7321	483
938	7332	476
939	7343	468
940	7354	461
941	7365	453
942	7376	445
943	7388	438
944	7399	430
945	7410	422
946	7420	415
947	7430	407
948	7441	399
949	7451	392
950	7462	384
951	7472	376
952	7484	369
953	7495	361
954	7505	353
955	7515	345
956	7525	338
957	7535	330
958	7546	322
959	7557	314
960	7567	307
961	7580	299
962	7590	291
963	7600	283
964	7611	276
965	7624	268
966	7636	260
967	7648	252
968	7660	245
969	7672	237
970	7684	229
971	7697	221
972	7710	213
973	7723	206
974	7736	198
975	7747	190
976	7760	182
977	7771	174
978	7784	166
979	7797	159
980	7810	151
981	7821	143
982	7832	135
983	7846	127
984	7862	119
985	7873	111
986	7885	103
987	7895	95
988	7907	87
989	7918	79
990	7929	72
991	7941	64
992	7952	56
993	7964	48
994	7975	40
995	7985	32
996	7996	24
997	8007	16
998	8017	8
999	8027	0
